"state","pollster","size","date","candidate","percentage"
"","USC Dornsife/Los Angeles Times",2545,"8/28/20 6:02","Biden",52.73
"","USC Dornsife/Los Angeles Times",2545,"8/28/20 6:02","Trump",40.32
"","USC Dornsife/Los Angeles Times",2544,"8/28/20 6:02","Biden",54.24
"","USC Dornsife/Los Angeles Times",2544,"8/28/20 6:02","Trump",39.68
"","Redfield & Wilton Strategies",1834,"8/28/20 10:08","Biden",48.85
"","Redfield & Wilton Strategies",1834,"8/28/20 10:08","Trump",38.83
"","Redfield & Wilton Strategies",1834,"8/28/20 10:08","Jorgensen",1.55
"","Redfield & Wilton Strategies",1834,"8/28/20 10:08","Hawkins",1
"","USC Dornsife/Los Angeles Times",2488,"8/28/20 6:02","Biden",53.1
"","USC Dornsife/Los Angeles Times",2488,"8/28/20 6:02","Trump",39.71
"","USC Dornsife/Los Angeles Times",2487,"8/28/20 6:02","Biden",54.37
"","USC Dornsife/Los Angeles Times",2487,"8/28/20 6:02","Trump",39.49
"","YouGov",1256,"8/26/20 10:14","Biden",50
"","YouGov",1256,"8/26/20 10:14","Trump",41
"","Harris Insights & Analytics",2861,"8/26/20 18:12","Biden",47
"","Harris Insights & Analytics",2861,"8/26/20 18:12","Trump",38
"","Ipsos",3829,"8/26/20 6:04","Biden",47
"","Ipsos",3829,"8/26/20 6:04","Trump",40
"","Ipsos",4428,"8/26/20 17:16","Biden",44
"","Ipsos",4428,"8/26/20 17:16","Trump",37
"","Rasmussen Reports/Pulse Opinion Research",2500,"8/26/20 11:59","Biden",46
"","Rasmussen Reports/Pulse Opinion Research",2500,"8/26/20 11:59","Trump",45
"","USC Dornsife/Los Angeles Times",2427,"8/28/20 6:01","Biden",53.3
"","USC Dornsife/Los Angeles Times",2427,"8/28/20 6:01","Trump",39.4
"","USC Dornsife/Los Angeles Times",2426,"8/28/20 6:01","Biden",55.13
"","USC Dornsife/Los Angeles Times",2426,"8/28/20 6:01","Trump",39.1
"","Global Strategy Group/GBAO/Navigator Research",1319,"8/28/20 6:03","Biden",54
"","Global Strategy Group/GBAO/Navigator Research",1319,"8/28/20 6:03","Trump",41
"","USC Dornsife/Los Angeles Times",2373,"8/28/20 6:01","Biden",53.3
"","USC Dornsife/Los Angeles Times",2373,"8/28/20 6:01","Trump",39.46
"","USC Dornsife/Los Angeles Times",2372,"8/28/20 6:01","Biden",54.83
"","USC Dornsife/Los Angeles Times",2372,"8/28/20 6:01","Trump",39.02
"","YouGov",906,"8/24/20 12:28","Biden",50
"","YouGov",906,"8/24/20 12:28","Trump",39
"","Morning Consult",13272,"8/24/20 17:08","Biden",52
"","Morning Consult",13272,"8/24/20 17:08","Trump",42
"","Léger",894,"8/24/20 17:21","Biden",49
"","Léger",894,"8/24/20 17:21","Trump",40
"","Léger",894,"8/24/20 17:21","Jorgensen",2
"","Léger",894,"8/24/20 17:21","Hawkins",1
"","Léger",894,"8/24/20 17:21","West",1
"","Change Research",2362,"8/26/20 5:30","Biden",51
"","Change Research",2362,"8/26/20 5:30","Trump",43
"","Change Research",2362,"8/26/20 5:30","Jorgensen",2
"","Change Research",2362,"8/26/20 5:30","Hawkins",2
"Arizona","Change Research",344,"8/26/20 5:30","Biden",49
"Arizona","Change Research",344,"8/26/20 5:30","Trump",47
"Florida","Change Research",1262,"8/26/20 5:30","Biden",49
"Florida","Change Research",1262,"8/26/20 5:30","Trump",46
"Michigan","Change Research",809,"8/26/20 5:30","Biden",50
"Michigan","Change Research",809,"8/26/20 5:30","Trump",44
"North Carolina","Change Research",560,"8/26/20 5:30","Biden",48
"North Carolina","Change Research",560,"8/26/20 5:30","Trump",47
"Pennsylvania","Change Research",984,"8/26/20 5:30","Biden",49
"Pennsylvania","Change Research",984,"8/26/20 5:30","Trump",46
"Wisconsin","Change Research",925,"8/26/20 5:30","Biden",49
"Wisconsin","Change Research",925,"8/26/20 5:30","Trump",44
"Pennsylvania","Franklin & Marshall College",681,"8/27/20 6:50","Biden",49
"Pennsylvania","Franklin & Marshall College",681,"8/27/20 6:50","Trump",42
"","USC Dornsife/Los Angeles Times",2336,"8/28/20 6:01","Biden",52.23
"","USC Dornsife/Los Angeles Times",2336,"8/28/20 6:01","Trump",40.45
"","USC Dornsife/Los Angeles Times",2336,"8/28/20 6:01","Biden",53.21
"","USC Dornsife/Los Angeles Times",2336,"8/28/20 6:01","Trump",40.61
"North Carolina","Morning Consult",1541,"8/24/20 17:06","Biden",49
"North Carolina","Morning Consult",1541,"8/24/20 17:06","Trump",46
"Wisconsin","Trafalgar Group",1011,"8/25/20 23:48","Biden",45.4
"Wisconsin","Trafalgar Group",1011,"8/25/20 23:48","Trump",46.2
"Wisconsin","Trafalgar Group",1011,"8/25/20 23:48","Jorgensen",3.6
"Michigan","Trafalgar Group",1048,"8/28/20 10:26","Biden",45.2
"Michigan","Trafalgar Group",1048,"8/28/20 10:26","Trump",46.6
"Michigan","Trafalgar Group",1048,"8/28/20 10:26","Jorgensen",3.2
"Texas","Public Policy Polling",764,"8/24/20 15:36","Biden",48
"Texas","Public Policy Polling",764,"8/24/20 15:36","Trump",47
"New York","Public Policy Polling",1029,"8/25/20 7:55","Biden",63
"New York","Public Policy Polling",1029,"8/25/20 7:55","Trump",32
"Florida","Public Policy Polling",671,"8/25/20 7:55","Biden",48
"Florida","Public Policy Polling",671,"8/25/20 7:55","Trump",44
"Delaware","Public Policy Polling",710,"8/25/20 7:58","Biden",58
"Delaware","Public Policy Polling",710,"8/25/20 7:58","Trump",37
"","YouGov",934,"8/23/20 10:33","Biden",52
"","YouGov",934,"8/23/20 10:33","Trump",42
"","Morning Consult",12000,"8/24/20 20:35","Biden",52
"","Morning Consult",12000,"8/24/20 20:35","Trump",43
"","USC Dornsife/Los Angeles Times",2313,"8/28/20 6:01","Biden",51.38
"","USC Dornsife/Los Angeles Times",2313,"8/28/20 6:01","Trump",40.61
"","USC Dornsife/Los Angeles Times",2313,"8/28/20 6:01","Biden",52.18
"","USC Dornsife/Los Angeles Times",2313,"8/28/20 6:01","Trump",40.92
"Virginia","Roanoke College",566,"8/26/20 9:10","Biden",53
"Virginia","Roanoke College",566,"8/26/20 9:10","Trump",39
"","Morning Consult",4377,"8/22/20 11:46","Biden",52
"","Morning Consult",4377,"8/22/20 11:46","Trump",43
"","Morning Consult",12000,"8/24/20 20:35","Biden",51
"","Morning Consult",12000,"8/24/20 20:35","Trump",43
"","USC Dornsife/Los Angeles Times",2234,"8/28/20 6:01","Biden",50.33
"","USC Dornsife/Los Angeles Times",2234,"8/28/20 6:01","Trump",41.37
"","USC Dornsife/Los Angeles Times",2234,"8/28/20 6:01","Biden",51.22
"","USC Dornsife/Los Angeles Times",2234,"8/28/20 6:01","Trump",41.56
"","Redfield & Wilton Strategies",1860,"8/22/20 8:52","Biden",49.33
"","Redfield & Wilton Strategies",1860,"8/22/20 8:52","Trump",39.2
"","Redfield & Wilton Strategies",1860,"8/22/20 8:52","Jorgensen",1.48
"","Redfield & Wilton Strategies",1860,"8/22/20 8:52","Hawkins",0.89
"","Morning Consult",12000,"8/24/20 20:35","Biden",52
"","Morning Consult",12000,"8/24/20 20:35","Trump",42
"","USC Dornsife/Los Angeles Times",2192,"8/28/20 6:01","Biden",50.34
"","USC Dornsife/Los Angeles Times",2192,"8/28/20 6:01","Trump",41.08
"","USC Dornsife/Los Angeles Times",2192,"8/28/20 6:01","Biden",50.95
"","USC Dornsife/Los Angeles Times",2192,"8/28/20 6:01","Trump",41.13
"","Morning Consult",12000,"8/24/20 20:35","Biden",51
"","Morning Consult",12000,"8/24/20 20:35","Trump",43
"Wisconsin","Redfield & Wilton Strategies",672,"8/21/20 19:00","Biden",49
"Wisconsin","Redfield & Wilton Strategies",672,"8/21/20 19:00","Trump",39
"Wisconsin","Redfield & Wilton Strategies",672,"8/21/20 19:00","Jorgensen",1
"Wisconsin","Redfield & Wilton Strategies",672,"8/21/20 19:00","Hawkins",1
"Wisconsin","Redfield & Wilton Strategies",672,"8/21/20 19:00","West",1
"","USC Dornsife/Los Angeles Times",2147,"8/28/20 6:01","Biden",50.4
"","USC Dornsife/Los Angeles Times",2147,"8/28/20 6:01","Trump",40.8
"","USC Dornsife/Los Angeles Times",2147,"8/28/20 6:01","Biden",51.48
"","USC Dornsife/Los Angeles Times",2147,"8/28/20 6:01","Trump",39.99
"","YouGov",1246,"8/19/20 10:06","Biden",50
"","YouGov",1246,"8/19/20 10:06","Trump",40
"Arizona","Redfield & Wilton Strategies",856,"8/21/20 18:59","Biden",47
"Arizona","Redfield & Wilton Strategies",856,"8/21/20 18:59","Trump",38
"Arizona","Redfield & Wilton Strategies",856,"8/21/20 18:59","Jorgensen",2
"Arizona","Redfield & Wilton Strategies",856,"8/21/20 18:59","Hawkins",1
"Arizona","Redfield & Wilton Strategies",856,"8/21/20 18:59","West",2
"Michigan","Redfield & Wilton Strategies",812,"8/21/20 19:00","Biden",50
"Michigan","Redfield & Wilton Strategies",812,"8/21/20 19:00","Trump",38
"Michigan","Redfield & Wilton Strategies",812,"8/21/20 19:00","Jorgensen",1
"Michigan","Redfield & Wilton Strategies",812,"8/21/20 19:00","Hawkins",1
"","Morning Consult",12000,"8/24/20 20:35","Biden",52
"","Morning Consult",12000,"8/24/20 20:35","Trump",42
"Minnesota","Trafalgar Group",1141,"8/19/20 23:51","Biden",46.9
"Minnesota","Trafalgar Group",1141,"8/19/20 23:51","Trump",46.5
"Minnesota","Trafalgar Group",1141,"8/19/20 23:51","Jorgensen",3.7
"","Harris Insights & Analytics",2840,"8/21/20 16:20","Biden",46
"","Harris Insights & Analytics",2840,"8/21/20 16:20","Trump",38
"","Ipsos",1391,"8/19/20 16:55","Biden",45
"","Ipsos",1391,"8/19/20 16:55","Trump",36
"","Ipsos",1179,"8/19/20 16:55","Biden",48
"","Ipsos",1179,"8/19/20 16:55","Trump",40
"","Echelon Insights",1000,"8/20/20 12:05","Biden",53
"","Echelon Insights",1000,"8/20/20 12:05","Trump",39
"","Echelon Insights",1000,"8/20/20 12:05","Biden",51
"","Echelon Insights",1000,"8/20/20 12:05","Trump",38
"","Echelon Insights",1000,"8/20/20 12:05","Jorgensen",2
"","Echelon Insights",1000,"8/20/20 12:05","Hawkins",1
"","Echelon Insights",1000,"8/20/20 12:05","West",1
"","Rasmussen Reports/Pulse Opinion Research",2500,"8/19/20 11:11","Biden",48
"","Rasmussen Reports/Pulse Opinion Research",2500,"8/19/20 11:11","Trump",44
"","USC Dornsife/Los Angeles Times",2089,"8/28/20 6:00","Biden",50.72
"","USC Dornsife/Los Angeles Times",2089,"8/28/20 6:00","Trump",40.63
"","USC Dornsife/Los Angeles Times",2086,"8/28/20 6:01","Biden",51.9
"","USC Dornsife/Los Angeles Times",2086,"8/28/20 6:01","Trump",39.94
"","Morning Consult",4141,"8/22/20 11:46","Biden",51
"","Morning Consult",4141,"8/22/20 11:46","Trump",43
"North Carolina","Redfield & Wilton Strategies",967,"8/21/20 19:00","Biden",44
"North Carolina","Redfield & Wilton Strategies",967,"8/21/20 19:00","Trump",46
"North Carolina","Redfield & Wilton Strategies",967,"8/21/20 19:00","Jorgensen",2
"North Carolina","Redfield & Wilton Strategies",967,"8/21/20 19:00","Hawkins",0
"Pennsylvania","Redfield & Wilton Strategies",1006,"8/21/20 19:00","Biden",48
"Pennsylvania","Redfield & Wilton Strategies",1006,"8/21/20 19:00","Trump",41
"Pennsylvania","Redfield & Wilton Strategies",1006,"8/21/20 19:00","Jorgensen",1
"Pennsylvania","Redfield & Wilton Strategies",1006,"8/21/20 19:00","Hawkins",1
"Pennsylvania","Redfield & Wilton Strategies",1006,"8/21/20 19:00","West",1
"New Hampshire","Saint Anselm College",1042,"8/20/20 17:26","Biden",51
"New Hampshire","Saint Anselm College",1042,"8/20/20 17:26","Trump",43
"","Morning Consult",12000,"8/24/20 20:35","Biden",51
"","Morning Consult",12000,"8/24/20 20:35","Trump",43
"Michigan","Civiqs",631,"8/21/20 15:17","Biden",49
"Michigan","Civiqs",631,"8/21/20 15:17","Trump",46
"Ohio","Civiqs",637,"8/21/20 15:17","Biden",47
"Ohio","Civiqs",637,"8/21/20 15:17","Trump",47
"Pennsylvania","Civiqs",617,"8/21/20 15:18","Biden",51
"Pennsylvania","Civiqs",617,"8/21/20 15:18","Trump",44
"Wisconsin","Civiqs",754,"8/21/20 15:18","Biden",51
"Wisconsin","Civiqs",754,"8/21/20 15:18","Trump",45
"Louisiana","Trafalgar Group",1002,"8/24/20 14:10","Biden",37.9
